"Cluster 1","Cluster 2","Cluster 3","Cluster 4"
0.257419897633643,0.259714195978134,0.165863375628955,0.317002530759268
0.173680019702108,0.0559777238818317,0.750247430903958,0.0200948255121025
0.0936657040683503,0.180194127736178,0.0503525148332604,0.675787653362212
0.0621826331323966,0.12605551932254,0.0342816630514815,0.777480184493582
0.548394373369501,0.136622992987717,0.276892213507943,0.0380904201348383
0.10887610556381,0.216662539804017,0.0661336929210402,0.608327661711133
0.493275881080075,0.118931955038351,0.339465669087684,0.0483264947938889
0.218104207403679,0.637473850125141,0.0715697149611344,0.0728522275100451
0.173492229251383,0.0780627452681513,0.716189626159985,0.0322553993204808
0.199223390803155,0.0787027245152916,0.692144588845933,0.0299292958356198
0.323445745192589,0.328709442778058,0.13635598487927,0.211488827150083
0.139907746974275,0.239687013363923,0.0892639992720619,0.53114124038974
0.386527370044643,0.307150439860894,0.143444153997929,0.162878036096534
0.115799653298753,0.212005349614378,0.0661449575326971,0.606050039554172
0.154373466489834,0.243593049076681,0.106663972041607,0.495369512391877
0.11292450762528,0.515400680886378,0.0508206026457206,0.320854208842622
0.145484622260553,0.216974142324809,0.0932278807762546,0.544313354638383
0.227844101736036,0.271143608846887,0.126459730513336,0.374552558903741
0.289182998644913,0.359140725729974,0.163539986408161,0.188136289216953
0.170370124782027,0.432296839860322,0.0850444158049521,0.312288619552699
0.138743469528005,0.263117481790546,0.0879874667412631,0.510151581940186
0.740782398580628,0.0856047154698573,0.148623821755253,0.0249890641942625
0.18751226540079,0.0950606935333089,0.673101590530834,0.0443254505350672
0.243253753629307,0.420172559860256,0.100611738945877,0.235961947564561
0.0924489506803107,0.2378500641444,0.0443609744822085,0.625340010693081
0.454102357946466,0.253292404719764,0.187420595239353,0.105184642094417
0.13670053416623,0.305559219384683,0.0755628458157292,0.482177400633358
0.186816270029944,0.295587127526673,0.0804590883100302,0.437137514133353
0.342919182870622,0.268235439149366,0.180766203961696,0.208079174018316
0.210629627503201,0.595795889075663,0.0626214919688966,0.130952991452239
0.201691970699132,0.267247753228539,0.121630736824938,0.409429539247392
0.169068228819702,0.479838767516608,0.0915465745224806,0.259546429141209
0.35611937137627,0.489691358240351,0.0672458004533872,0.0869434699299916
0.0935231829344128,0.711675810109194,0.0338498124620191,0.160951194494374
0.432925215470534,0.474490481781317,0.055462412982808,0.0371218897653408
0.364585072788298,0.453930606762919,0.100422843070264,0.0810614773785202
0.0711769768111493,0.782913934736768,0.023359566590051,0.122549521862032
0.0876525401294643,0.224747544978276,0.038489849278873,0.649110065613387
0.279217610959404,0.155737770429577,0.484011282219052,0.0810333363919665
0.163183967903793,0.527039852613399,0.0514728941058869,0.258303285376921
