"","z1","z2","NfL","GFAP","AB42_40_ratio","pTau181_recode","cognition"
"z1",1,-0.019,0.306,0.281,0.679,-0.462,-0.078
"z2",-0.019,1,0.792,0.759,-0.205,0.628,-0.267
"NfL",0.306,0.792,1,0.44,-0.011,0.276,-0.217
"GFAP",0.281,0.759,0.44,1,-0.009,0.296,-0.245
"AB42_40_ratio",0.679,-0.205,-0.011,-0.009,1,-0.042,-0.011
"pTau181_recode",-0.462,0.628,0.276,0.296,-0.042,1,-0.135
"cognition",-0.078,-0.267,-0.217,-0.245,-0.011,-0.135,1
