"Metric","Value"
"sample_size","4465"
"complete_biomarkers","4427"
"optimal_k","4"
"mean_silhouette","0.473797090249025"
"ari_atn_cluster","0.119013089890641"
"nmi_atn_cluster","0.113014423150798"
"best_biomarker","GFAP"
"best_auc","0.803"
"clustering_stability","0.947155416915226"
"pca_variance","0.67093"
"vae_silhouette","0.567717166261226"
"pca_silhouette","0.507498198991238"
