"Biomarker","HL_ChiSq","HL_p"
"log_NfL",15.6211023288495,0.0481357437800226
"log_GFAP",21.2967864877999,0.00639946078687215
"log_AB42_40_ratio",14.0022447736661,0.0817069258178322
"log_pTau181_recode",9.59142610550251,0.294880729240579
