"K","WSS","Mean_Silhouette"
1,17704,NA
2,13367.1394372848,0.519438947245816
3,11067.6144128263,0.528045756190929
4,9274.51061032276,0.470673708697433
5,7665.87150445104,0.478641831499118
6,6668.01313509231,0.340783577328202
7,6022.80720820462,0.24506218307823
8,5393.45993598322,0.250045732697905
9,4882.09513199174,0.258951707442589
10,4471.74503605864,0.245857545186148
