"epoch","total_loss","recon_loss","kl_loss"
1,1.3381415605545,1.04633963108063,0.291801929473877
2,2.03339767456055,1.5699702501297,0.463427424430847
3,2.5377049446106,1.65796279907227,0.879742205142975
4,1.10884392261505,0.70218700170517,0.406656950712204
5,3.20980930328369,2.34974884986877,0.860060513019562
6,1.51958954334259,0.947203040122986,0.572386503219604
7,1.77008414268494,1.14788365364075,0.622200548648834
8,2.34124183654785,0.526505708694458,1.81473612785339
9,2.25473594665527,1.76950597763062,0.485229849815369
10,5.89763450622559,3.73606181144714,2.16157245635986
11,1.57101213932037,1.17120778560638,0.399804323911667
12,1.58940601348877,1.07292759418488,0.516478478908539
13,0.941696166992188,0.494471937417984,0.447224259376526
14,1.20324432849884,0.847770929336548,0.355473399162292
15,1.15946483612061,0.803820669651031,0.355644106864929
16,2.93739080429077,1.86953318119049,1.06785774230957
17,1.43855464458466,0.943816244602203,0.494738399982452
18,2.42815399169922,1.8449639081955,0.583190143108368
19,2.27323985099792,1.20667254924774,1.06656730175018
20,1.43524384498596,0.869383215904236,0.565860569477081
21,2.07516050338745,1.48335063457489,0.591809809207916
22,2.13734579086304,1.52270138263702,0.614644289016724
23,3.15682530403137,2.08428168296814,1.07254362106323
